species ,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
Indopacetus_pacificus_mask,Data Deficient,Data Deficient,0.008698409,0.002888345,-0.00058675,0.002673093,0.000133855,0.002405428,0.000247589,0.000425106,-0.000274814,-0.0007986,0.000152785,-0.001410519,-0.000554937,-0.000859381,-0.000585624,0.00037427,0.000626223,-0.000667376,-7.73E-05,0.000597323,-0.000242029,-0.00014783,-0.000246401,0.00017894,0.000118318,0.000584204,0.000129314,0.000231481,-2.93E-05,-8.28E-05,0.000195452,0.000227476,-0.000127739,-0.000137974,6.55E-05,9.13E-05,-8.36E-05,0.000149589,-5.62E-05,1.06E-05,-0.000135435,-7.09E-06,-8.25E-06,-3.33E-05,1.49E-05,9.95E-06,-3.54E-05,-1.05E-05
Kogia_breviceps_mask,Data Deficient,Data Deficient,0.003645004,-0.004828147,-0.006272631,0.000775516,-0.001818206,-6.60E-05,-0.000927805,-0.000919671,0.000541032,-0.000224609,-5.57E-05,-0.000385463,-0.000452992,-0.00015329,-0.000981737,0.000825461,-0.00040031,-0.000333315,0.001122234,0.000222713,0.000305065,9.68E-05,0.000237761,0.000717059,-0.000204216,0.000277508,-0.0002115,0.000329916,-0.000119515,0.000206774,-6.58E-06,-1.93E-05,-0.00017051,-0.00019769,-0.000109133,-0.000226468,-3.78E-05,5.95E-05,8.28E-05,-0.000196339,1.34E-05,6.96E-05,-9.03E-06,-6.69E-05,9.18E-05,3.32E-05,5.51E-06,3.02E-05
Kogia_sima_mask,Least Concern,0.060625,0.01170205,0.006207393,-0.003468418,-0.006623924,0.001591989,0.000999191,0.001377568,0.002187561,-0.001885682,-0.000747849,-0.001253322,-0.000499738,-0.001230041,0.000666915,0.000532888,0.00065273,-0.00011964,0.000122093,-0.000162916,3.57E-05,-1.35E-05,-0.000661011,-0.00096791,-0.000311879,0.000384411,-0.000606025,-0.000331839,0.000348919,-0.00014813,9.00E-05,0.000142118,-0.000202493,-0.000197436,9.62E-05,-0.000182245,-9.66E-05,6.18E-05,0.000133109,0.000104798,2.61E-05,0.000150294,-4.07E-05,-0.000101723,3.56E-06,5.13E-05,-5.55E-05,1.15E-05,9.08E-06
Lagenodelphis_hosei_mask,Least Concern,0.060625,0.009434429,0.002720011,0.000855936,-0.003132858,0.003954473,-0.001260585,0.000783685,0.000390817,0.00028516,-0.000736804,-0.00200752,0.000725559,9.99E-05,0.0007674,-0.000671741,0.000206098,0.000960803,-0.000274318,0.000541591,0.001067865,0.000111515,-0.000446733,0.000380961,-6.53E-05,-8.55E-05,-0.000627204,0.000597083,-0.00019273,-0.000345198,-0.00054913,0.000175679,0.000167692,0.0001896,-4.66E-05,-3.38E-05,0.000179847,4.52E-05,-0.00019408,-7.32E-05,1.98E-05,-4.05E-05,2.07E-05,-9.07E-05,-2.65E-07,0.000128596,2.91E-05,1.26E-05,1.24E-05
Lagenorhynchus_acutus_mask,Least Concern,0.060625,-0.013211124,0.006674058,-0.001471707,0.004960627,0.002089128,0.000805143,0.00270699,0.000533279,-0.002572098,0.000698445,0.001850625,0.000410103,0.001371756,-0.001100325,-0.000806485,0.000943375,0.00060108,0.001473587,-0.000429947,-0.000349453,0.000722897,-0.0003015,-0.000594223,-3.35E-05,-0.000118969,0.000659828,-0.00022262,-5.11E-05,0.000354758,-0.000191002,0.00026641,5.86E-05,0.000285676,-9.17E-05,-0.000345636,-3.06E-06,5.70E-05,-0.000134354,-8.97E-05,-9.63E-05,8.24E-05,-8.68E-05,-7.94E-05,3.43E-05,-1.44E-05,2.01E-06,1.62E-05,9.06E-06
Lagenorhynchus_albirostris_mask,Least Concern,0.060625,-0.008093995,0.01349831,-0.000460407,0.000602771,-0.00184466,0.001557886,-0.002987416,-0.000428344,7.42E-05,-0.000717387,0.00221027,0.000435252,-0.000833564,0.000521576,6.80E-06,-0.000201522,0.000268893,-0.000737664,0.000672674,0.000297128,-0.000288428,-0.000289549,-2.52E-05,0.000336728,0.000276374,0.000742625,0.000135194,0.000185543,5.83E-05,0.000394204,1.53E-05,-0.000292188,2.89E-05,0.000280068,0.000150485,0.000111648,9.65E-05,-0.000219149,0.000111949,4.14E-05,-4.90E-07,8.28E-06,-3.56E-05,6.82E-05,7.24E-05,2.84E-05,-1.59E-05,-4.94E-06
Lagenorhynchus_australis_mask,Least Concern,0.060625,-0.005179857,0.004859076,-0.002424911,9.42E-05,-0.000804672,-0.001098286,-0.001250282,-0.000746762,0.000155731,0.000341642,-0.000824119,-0.001580615,-0.001045217,-0.000861939,0.000633598,-0.000698507,0.000136902,0.000401143,-1.30E-05,0.000357237,-0.000524004,0.000735136,0.000114426,-0.000444968,5.00E-05,-2.94E-05,-0.000111183,0.000137142,-0.000367249,1.52E-05,0.000131005,-5.69E-05,5.60E-05,-0.000160346,7.13E-05,0.000218718,6.54E-05,-5.90E-05,-7.20E-05,-0.000125468,3.93E-05,-5.74E-05,-1.52E-05,1.82E-05,2.32E-06,-4.56E-05,-3.52E-06,1.40E-05
Lagenorhynchus_cruciger_mask,Least Concern,0.060625,-0.01128074,0.007918705,-0.003797829,0.00474961,-0.000691323,0.000338434,0.001671489,0.000468291,0.000393228,-0.001385347,0.000652053,0.001564144,-0.000392762,0.00243114,-0.000417991,-0.001408509,-0.000261315,-0.000559822,0.000881684,0.000331913,0.000373467,-0.000338955,8.14E-05,-0.000801207,-0.000472152,0.000415285,-0.00069744,-0.000220461,0.000156035,-0.000385098,0.000203587,-3.02E-05,0.000212378,-0.000167927,0.00019176,-5.40E-05,-0.0001128,4.27E-05,-3.25E-05,0.000103067,3.36E-05,4.70E-05,7.17E-05,-5.13E-05,1.53E-05,-1.36E-05,1.23E-05,-6.61E-06
Lagenorhynchus_obliquidens_mask,Least Concern,0.060625,-0.013086479,0.006402081,-0.001201376,0.004461853,-0.003303801,0.000819494,0.001133027,0.001518428,-2.41E-05,-0.000957481,0.000548159,0.002183714,0.000388331,0.001328176,0.000100615,-0.000796549,-0.00018081,0.000100543,-0.000452475,0.000504554,-0.001101034,-0.000105414,-0.000267251,9.76E-05,-0.000196182,-0.000562276,-0.000289536,-0.00011184,-0.000301973,0.000312181,5.77E-05,0.000228979,-1.26E-05,-0.000166445,-0.000278375,4.26E-05,-9.96E-05,0.000102058,0.000143906,-0.000118962,-2.28E-05,-4.29E-05,-3.05E-05,8.79E-05,2.75E-05,4.08E-05,-2.86E-05,-2.29E-06
Lagenorhynchus_obscurus_mask,Least Concern,0.060625,-0.006087242,0.002863862,-0.004121578,0.002778029,-0.00184185,-0.002111212,0.000653434,0.002428238,0.002022718,0.000545021,2.98E-05,-0.001205585,0.000554681,0.000257278,-0.000431125,-9.17E-05,-0.000429544,6.55E-05,-0.000537672,-2.03E-06,0.000702473,0.000137502,-8.47E-06,0.000102448,0.000236984,0.000267645,9.88E-05,-0.000413514,-0.000446155,0.000201641,-4.42E-06,0.000321009,-0.000203852,-0.000187065,0.000189759,7.64E-05,0.000346934,-3.47E-05,6.64E-05,1.03E-05,9.47E-05,-7.66E-05,-6.87E-05,-4.71E-05,5.17E-05,-2.02E-05,-2.07E-05,-8.56E-07
Lissodelphis_borealis_mask,Least Concern,0.060625,0.010204648,-0.003896129,0.002912662,0.001787201,0.002960739,-0.000471189,-0.001368262,0.000433363,0.001363857,-0.000921174,0.000877451,-0.001361988,0.002302827,-0.000100033,-8.27E-06,-0.000773868,-0.000644236,5.82E-05,0.000304352,-0.000550435,0.000230694,0.00010151,0.000127362,-0.00023572,-0.000420525,-0.000280388,-0.000362332,0.0001315,9.99E-05,0.000222753,-0.000272135,-4.61E-08,3.02E-05,3.60E-05,4.48E-05,6.13E-05,-9.21E-05,-8.96E-05,5.16E-05,-0.000145529,-4.86E-05,-4.57E-05,7.91E-05,0.000118412,6.93E-05,-3.13E-05,-8.00E-06,2.36E-05
Lissodelphis_peronii_mask,Least Concern,0.060625,-0.002404193,-0.00755122,0.005609035,0.001218811,0.003044197,-0.003237199,-9.46E-05,-0.000926279,0.002219948,0.001143766,0.000807153,0.000898835,0.000935996,0.000318956,-0.000173796,-0.000302619,0.000112566,-5.22E-05,0.000239553,-0.000521402,-0.000135963,-0.000268078,-0.00033858,0.000338667,-7.36E-05,-0.000373353,-0.000310585,0.000272436,1.64E-05,-0.000374853,0.000371458,-0.000160394,2.48E-05,9.85E-05,-0.000106992,0.000273068,-2.28E-05,-9.58E-06,0.000107388,-3.15E-05,-4.58E-05,-0.000104985,-3.02E-05,-1.78E-05,-1.69E-06,1.68E-05,-1.72E-05,4.26E-06
Megaptera_novaeangliae_mask,Least Concern,0.060625,-0.030086507,-0.014234862,0.001698481,-0.012297954,0.004700971,0.010813164,-0.00092215,0.002630453,0.001865494,-0.000254733,0.000747147,-0.000311862,-0.00077716,0.000113224,3.94E-05,-0.001074579,0.000382059,0.000774659,-0.000135139,0.000246725,0.000530229,0.000189087,0.000212076,0.000257885,2.43E-07,-8.24E-06,-8.47E-06,9.74E-05,4.26E-06,-2.78E-07,4.45E-05,5.49E-05,2.76E-05,-0.000112355,1.55E-05,7.99E-06,-2.28E-05,3.26E-05,-3.50E-06,-8.88E-06,-4.50E-06,1.94E-05,-1.78E-05,5.88E-06,8.97E-06,5.26E-06,1.78E-07,-1.81E-06
Mesoplodon_bidens_mask,Data Deficient,Data Deficient,0.008868347,-0.000417072,0.001012976,0.001577733,0.000761732,0.000906067,7.07E-05,-0.000202649,0.00052351,0.000462834,-6.66E-05,-0.000107598,-0.000317778,-1.26E-05,-0.00052294,0.00012432,0.000517513,-3.54E-05,0.000644388,-0.000151854,0.00031771,-9.35E-06,-5.20E-05,-0.000165887,-0.000334912,-0.00031389,7.62E-05,0.000244945,0.000278171,0.000155755,-6.70E-05,3.74E-06,2.04E-05,-7.72E-05,-5.33E-05,1.36E-05,0.000162997,-9.77E-05,-3.15E-06,-9.68E-05,-2.30E-05,8.16E-05,3.09E-05,-1.15E-05,-4.74E-06,-2.82E-05,1.83E-06,-8.63E-06
Mesoplodon_bowdoini_mask,Least Concern,0.060625,0.00820714,0.001089963,0.00037976,0.000698876,-0.000189466,0.002144637,0.00070031,-0.001281322,0.00033708,-0.000270671,-0.000979184,0.000198289,-8.58E-05,0.00023332,-4.89E-05,-0.000182631,9.64E-05,7.95E-05,-0.00024265,-0.000191685,6.58E-05,0.00030093,-0.000212754,3.89E-05,0.000173024,5.43E-05,-3.75E-06,-0.000231206,-9.13E-06,0.000149772,8.95E-05,2.69E-05,1.54E-05,0.000122562,-2.52E-05,1.58E-05,8.62E-05,-8.40E-05,-9.76E-06,8.00E-05,0.000142407,3.63E-06,2.04E-05,-1.01E-06,1.61E-05,4.25E-05,1.25E-05,9.40E-06
Mesoplodon_carlhubbsi_mask,Data Deficient,Data Deficient,0.00908238,-0.003586552,-0.005938799,0.002640963,-0.000583988,0.002036325,-0.001638004,0.001784087,-0.001946715,0.000663309,-0.001040182,0.00059724,0.00027202,-0.000158131,-0.000122923,-0.000580609,-0.000133529,7.84E-05,0.000111714,0.000179805,0.000240014,0.000907585,-0.00052922,0.000147952,-0.000112044,-6.20E-05,-9.96E-05,-0.000117182,0.000245254,0.000264595,2.69E-05,-7.19E-06,-0.00010519,6.35E-05,0.000349308,-5.01E-05,3.76E-05,1.61E-05,-1.05E-05,0.000124404,-2.30E-05,-9.46E-05,1.13E-06,-2.11E-05,8.34E-05,2.68E-05,1.61E-05,8.96E-06
Mesoplodon_densirostris_mask,Least Concern,0.060625,0.003440709,-0.002906641,0.001123694,0.002408438,-0.001556397,0.000856367,-0.00134638,-0.000355422,-0.001018426,-0.000240738,-0.001024473,0.000245539,0.000258018,0.000271728,4.80E-05,-4.49E-05,-0.000123523,0.000208652,0.000368288,0.000297623,7.57E-05,0.000928735,4.60E-05,0.000489236,0.000236183,-8.87E-05,-0.000337641,-0.000323432,0.000264953,-0.000174079,-7.00E-05,-0.000375522,1.75E-05,-3.81E-05,-0.000168379,7.32E-05,2.08E-05,0.000126021,-9.21E-05,-1.93E-05,-3.15E-05,-7.02E-05,-8.51E-05,-1.19E-05,1.87E-05,-6.07E-05,-1.03E-05,-2.06E-05
Mesoplodon_europaeus_mask,Least Concern,0.060625,0.008781767,-0.000865837,-0.001685568,0.002925773,0.00061906,0.001639053,-0.000759315,-7.95E-05,0.000260772,0.000647136,3.89E-05,-0.000192822,1.70E-05,-0.000443132,-0.000285514,-8.81E-05,-0.000162678,-4.81E-05,0.00026565,0.000394925,8.05E-05,-0.000152137,2.11E-05,0.000238825,-6.61E-05,-5.72E-06,0.0001928,-0.000304331,0.000106547,-7.89E-05,-0.000229727,-0.00010602,5.83E-06,0.000110083,-0.000200218,-0.000180013,3.92E-06,-2.12E-06,2.13E-05,6.43E-05,-0.000111647,0.00012074,3.93E-05,6.32E-05,4.52E-05,-2.05E-06,4.53E-06,-1.05E-05
Mesoplodon_gingkodens_mask,Endangered,0.485,0.007080974,0.002126296,0.001528397,0.001533866,0.000455373,0.00237766,0.000274893,-0.001187671,0.000774572,-0.000309658,-0.000337905,0.000244955,0.000293726,0.000151742,0.000224202,-4.08E-05,-0.00063081,-0.000240066,-0.000171351,-0.000213033,0.000228577,0.000134682,5.72E-06,-3.17E-05,-0.000147903,0.000179369,0.000133054,-0.000183092,0.000184905,-0.000229102,3.22E-05,1.93E-05,0.000145401,6.33E-05,-3.68E-05,0.000245542,-5.49E-05,2.67E-05,-0.000135124,0.000106382,7.14E-05,-5.35E-06,-5.01E-06,-2.05E-06,8.57E-06,-2.18E-05,-8.29E-06,6.70E-06
Mesoplodon_grayi_mask,Least Concern,0.060625,0.008927412,0.000433077,0.000666124,0.002651876,0.000766137,0.001718484,-0.00084615,0.000142198,0.000891079,0.000560137,0.000113754,-0.000688292,0.000483165,8.03E-05,-0.000241705,-0.000349032,0.000300216,-0.000458887,-0.00039491,2.42E-05,0.000347642,-0.00018265,-0.000255022,-7.02E-05,0.000213584,-0.00011525,3.16E-05,-0.000144651,0.000227268,-0.000102163,-0.000293789,-0.000235294,-0.000136993,-6.17E-05,-3.22E-05,-2.85E-05,-7.34E-05,-5.58E-05,6.97E-07,1.20E-05,-5.15E-05,-8.08E-05,-3.38E-05,4.10E-05,3.69E-06,-2.77E-05,-5.34E-06,5.86E-06
Mesoplodon_hectori_mask,Near Threatened,0.12125,0.009175407,0.000238514,-0.000252927,0.001449543,0.000467011,0.001483346,-0.000444255,8.08E-05,6.46E-05,0.00028481,-0.000761035,-0.000965936,5.80E-05,-0.000361257,-0.000128713,-9.52E-05,-0.000386919,5.87E-05,0.000225962,0.000438205,0.000416049,9.54E-05,-5.13E-05,-0.000353694,0.00025364,0.000174032,-0.000343529,-0.000163281,-1.18E-06,-5.05E-05,-0.000209813,0.000210808,-0.000215347,6.15E-05,-0.00018991,-0.000164571,-7.49E-05,-0.000166728,1.36E-05,-0.00014791,1.39E-05,0.000114166,-0.000101542,-1.11E-05,-0.00010529,6.05E-05,1.30E-05,-1.76E-05
Mesoplodon_layardii_mask,Data Deficient,Data Deficient,0.008580278,0.002612317,0.002693687,-0.00127929,-0.000357761,0.000719624,0.000990475,0.00031081,0.000439205,0.000546289,0.000707491,-0.000659704,-0.000529913,2.66E-05,-0.000350647,0.000652253,0.000756638,-0.000246221,-8.14E-05,-5.20E-06,-0.00019046,-0.000351566,0.000143339,-0.000189406,0.000291182,1.30E-05,0.00011515,0.000348834,0.000475312,-2.36E-05,-0.000201042,-5.18E-05,0.000299958,-0.000213879,0.000445305,-0.000259898,-6.87E-05,1.85E-05,-6.57E-05,-3.29E-05,6.04E-05,-0.000156689,8.71E-06,2.71E-05,2.32E-05,4.06E-05,-2.22E-05,-1.57E-05
Mesoplodon_mirus_mask,Least Concern,0.060625,0.006624481,-0.001728324,0.001018186,0.002129673,-0.000352721,-0.000181304,0.000469908,0.000411454,-0.00048126,0.000598508,-0.001174872,-0.00063246,-9.15E-05,-0.000396228,-0.000469276,-0.000795851,0.000963509,0.000285393,0.000420123,0.00064529,0.000132135,0.000299645,0.000105082,5.11E-05,-1.92E-05,1.35E-05,-1.76E-05,-8.74E-05,1.13E-06,0.000118112,-0.000104442,8.33E-05,0.000101529,6.96E-05,-1.83E-05,-3.59E-05,-0.000135107,-8.11E-05,-1.82E-05,3.92E-05,8.60E-05,-5.95E-05,-5.75E-06,-5.41E-05,-1.96E-05,-1.33E-05,7.21E-06,-6.95E-06
Mesoplodon_perrini_mask,Least Concern,0.060625,0.006124648,0.003497938,0.001096658,0.000275133,-0.000428438,0.003177071,0.001127377,-0.001606888,-0.000177177,-0.000310888,-0.000582579,0.000598939,-0.000471392,-0.000378173,0.000246988,0.000207551,-0.000189969,-0.000232592,-0.000211352,-0.000100248,4.26E-05,1.75E-05,-0.000222429,0.00024228,-0.000128263,6.20E-05,0.000113234,-9.86E-05,-9.95E-05,1.16E-06,5.94E-06,-0.000248069,4.99E-05,-0.0001208,-5.32E-05,0.000138998,4.48E-05,-6.21E-05,-5.71E-06,4.34E-05,-5.14E-06,7.71E-06,5.05E-05,-5.48E-06,-7.87E-05,-1.45E-05,-1.34E-05,1.93E-05
Mesoplodon_peruvianus_mask,Least Concern,0.060625,0.00725137,0.003401574,0.000936215,-0.000359241,0.000760124,0.002265688,0.000822697,-0.001431374,0.00106365,0.000374755,-0.000124048,-0.00110537,-0.000446216,-0.000157993,-0.000240654,0.000414352,-0.000256579,-3.61E-05,7.36E-05,6.22E-05,-6.95E-05,-0.000171694,-0.000209347,-0.000297199,0.000365648,9.16E-05,-9.27E-06,0.000331899,-0.000183581,-0.000216564,-0.000157033,0.000221437,0.000176534,0.000144906,7.44E-05,-4.94E-05,6.13E-05,-8.68E-05,2.58E-06,-4.46E-05,8.16E-05,-3.07E-05,8.10E-05,3.09E-05,1.35E-05,4.13E-05,2.01E-06,3.63E-06
Mesoplodon_stejnegeri_mask,Least Concern,0.060625,0.007492976,0.001947992,0.001499392,0.000996215,0.000235789,0.002473086,0.000384624,-0.001209655,0.000580264,6.91E-05,-0.000634775,0.00014231,-8.44E-05,2.20E-05,-2.77E-05,0.000234522,-0.000647004,-8.11E-05,-0.000201396,-0.000109169,3.98E-05,0.000300144,7.20E-05,-9.39E-05,4.98E-05,0.000156702,3.16E-05,-0.000341831,0.000109384,-0.000333595,-4.81E-05,-7.84E-05,0.000192633,3.53E-05,-0.000114704,7.26E-05,4.89E-06,6.36E-05,4.27E-05,7.16E-05,-3.59E-05,5.85E-05,-4.21E-06,2.55E-05,-1.20E-05,-2.88E-06,-2.72E-05,-1.88E-06
Mesoplodon_traversii_mask,Vulnerable,0.2425,0.011054232,0.003180716,0.003164984,-0.000582617,0.000712047,0.002712837,0.001793825,0.000676857,0.000941419,-0.001402532,-0.000837383,-0.000255136,0.000531323,0.000540454,-0.000238407,0.000324911,-0.00087814,-0.000317965,-0.000804572,-0.000735767,-5.80E-05,-8.97E-06,-2.11E-05,-0.000629858,-4.87E-05,0.000373487,-3.29E-06,0.000262481,5.78E-05,0.000134961,0.000113152,-0.000223534,-0.000282068,-0.000117323,-4.19E-06,0.000306368,5.16E-06,5.21E-05,0.000136515,-4.76E-05,-6.00E-05,9.56E-06,3.06E-05,-9.33E-05,4.50E-05,4.67E-05,2.66E-05,-1.13E-05
