species,redlistCategory,type,prob.ext,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
Aetobatus_narinari_mask,Endangered,rays,0.485,0.068811488,0.000138013,0.008301465,-0.001495742,0.00491061,-0.002186752,0.002187891,-0.000888572,0.000214603,-0.000129273,0.000474354,0.00043612,-0.00104595,-0.000608703,-0.000486866,0.001606806,-0.002135915,-2.10E-06,-0.000390742,-0.000400352,0.000708767,0.000149799,0.000986016,0.001126185,0.000725701,0.000241629,6.60E-05,3.84E-19
Aetobatus_ocellatus,Vulnerable,rays,0.2425,0.068797142,0.002135045,0.009351269,-0.003042397,0.013051945,4.20E-05,0.007657656,0.002501046,0.008547637,-0.004140086,-0.000877974,0.002209415,-0.001413206,-0.003866079,-0.001173202,0.000183371,0.001255247,-0.001195932,0.000164049,0.000188735,-0.000552902,-0.000185421,-0.000440755,-0.000556271,-0.000428505,-0.000179545,-2.88E-05,-7.29E-18
Beringraja_binoculata,Near Threatened,rays,0.12125,-0.024180876,0.009797642,0.02016451,-0.003299819,-0.005185051,0.001178002,-0.004169402,0.001101086,0.001519312,0.003250508,0.000230995,-0.004208907,-0.007381333,-0.004315579,-0.001769169,0.001883985,0.000419921,0.002270964,0.000502198,-0.000297117,-0.000281867,0.000240083,0.000272839,-0.000249023,0.00022865,-0.000154302,-0.000203823,-7.00E-18
Dasyatis_americana,Data Deficient,rays,Data Deficient,-0.013446882,-0.02043367,-0.016652162,0.010329114,0.014324867,-0.005278621,-0.001260949,-0.003706512,-0.001772622,0.000250758,-0.00195169,-0.001767439,0.00339061,0.001748726,-0.002675639,0.003196535,-0.000739941,-7.40E-05,0.000574218,-0.002315311,-0.000301128,0.000389523,-0.000438734,-0.00071077,0.000265976,6.32E-05,-7.68E-05,-6.56E-20
Dasyatis_brevis,Data Deficient,rays,Data Deficient,-0.018216962,-0.016778604,0.006223951,0.004213151,0.003060006,-0.007885832,-0.004022749,0.002521091,0.001852845,0.004498441,-0.004305133,-0.001082692,0.002135463,-0.000554048,0.004092344,0.002377795,0.00068783,-0.000481963,-0.000194346,0.000318497,-0.001347825,-0.001020511,0.000285499,0.000706685,5.76E-05,-0.000377399,0.000127053,2.45E-18
Dasyatis_centroura,Data Deficient,rays,Data Deficient,-0.000727583,-0.011497477,-0.015260423,0.025882557,0.018056176,0.008142656,-0.008117562,-0.004223239,-0.005340338,-0.001641037,-0.00023353,-0.004519066,-0.002937168,-0.000510896,0.000124091,-0.002767372,0.002114783,-0.000191978,-0.000213237,0.000400741,0.000636526,-0.000189978,2.00E-05,0.000571439,-0.000111154,-3.94E-05,8.43E-06,-7.46E-19
Dasyatis_thetidis,Vulnerable,rays,0.2425,0.006863046,-0.026132528,0.003801811,0.010089416,-0.010021588,0.012874847,0.001484265,-0.00108136,-0.002980299,-0.001885032,-5.71E-05,0.003033594,0.001362499,-0.003674188,0.00568056,-0.001102928,-0.000162369,-0.000156209,0.001260143,-0.001951641,3.53E-05,-0.000113609,0.000519419,-0.00037889,-9.69E-05,0.000120562,-8.51E-05,-8.47E-18
Dipturus_batis,Endangered,rays,0.485,-0.016346233,-0.00031937,0.029854568,-0.004606529,-0.002008832,-0.004359039,0.002015133,-0.000681111,-0.00311155,-0.008527689,-0.003661806,0.000635227,0.001308199,0.004257622,-0.00128942,-0.001267066,3.86E-05,-0.000830022,0.000764457,0.000330022,-0.000256524,6.19E-05,0.000431984,0.000494984,1.76E-06,-0.000238425,-0.000361741,-2.35E-18
Gymnura_altavela,Endangered,rays,0.485,-0.011440992,0.044186026,0.022007483,0.004079301,0.008778694,0.007106736,-0.000240788,-0.003451267,0.001451737,0.003808179,0.00633864,-0.000699979,0.001971685,0.002737053,0.001601377,0.0021669,-0.00058553,-0.000186472,-0.000875818,0.000186087,-3.99E-05,0.000312312,0.000716176,-0.00010692,-0.000898116,0.000133528,-5.04E-05,6.90E-18
Gymnura_natalensis,Least Concern,rays,0.060625,-0.007220941,0.046344587,0.023990807,-0.002292109,0.003759861,0.004797042,-0.003924327,-0.005716122,0.002593395,-0.001426743,0.003200038,-0.000500448,0.001697722,0.000321815,0.001581377,-0.002068336,-0.001503591,0.000494898,0.001516566,0.00011351,-0.000187058,-0.000347655,-0.001140479,-0.000147971,0.00075821,-0.000168427,0.000139241,-7.47E-19
Himantura_jenkinsii,Near Threatened,rays,0.12125,-0.002242927,-0.018155523,-0.003582376,0.012765477,-0.012768276,0.011008664,-0.008184953,-0.005745747,0.006496174,-0.002586927,-0.003664041,-0.001637459,0.005148994,-0.002727643,-0.00304926,0.001640751,-0.000810176,-0.000175533,-0.000703573,0.001765888,0.000345221,0.000160077,5.76E-05,-0.000118069,-2.98E-05,2.81E-05,1.68E-05,-5.02E-18
Himantura_polylepis,Vulnerable,rays,0.2425,-0.013575958,-0.018372479,-0.024496188,0.002046109,-0.005504117,0.005018724,0.005524093,-0.001892173,0.014513859,0.002679282,0.000786683,-0.001012628,-0.003647851,0.005672221,0.000791244,-0.000971218,0.000620179,-0.00083973,0.001157786,-0.000227349,-0.000171905,0.000152335,0.000118531,0.000239165,0.000187073,0.000132312,-2.96E-05,-5.06E-19
Himantura_uarnak,Endangered,rays,0.485,0.001538593,-0.026942482,-0.00392255,0.013499776,-0.001948108,0.01106983,0.005892331,0.000856947,-0.008600535,-0.0011543,0.00288697,0.006203374,-0.003949249,0.002725717,-0.001057649,0.002389542,-0.000785045,0.000538889,-0.00010531,0.001305585,-0.001022924,0.000138348,-0.000454204,-4.18E-05,0.000105688,-0.00012941,0.00010737,-7.20E-18
Manta_birostris,Least Concern,rays,0.060625,-0.009745183,0.050645758,-0.013318787,0.007173466,-0.001275702,0.005613541,0.012917709,0.003366194,-0.000561646,0.001799276,-0.003949679,0.002242708,0.003708953,-0.000317143,-0.000168509,-0.000326564,0.002885128,0.001752172,-0.001597131,-0.000239417,0.000117798,0.000468502,6.85E-05,0.000178577,0.000466663,-7.05E-05,-2.11E-05,5.30E-18
Mobula_tarapacana,Endangered,rays,0.485,-0.010031569,0.047303859,-0.017486263,0.009453764,-0.004935198,-0.001091817,0.007349204,0.001714059,-0.005160936,0.004622206,-0.005484661,-0.001101963,-0.001774162,-0.001654283,-0.00207088,-0.000329257,-0.002111193,-0.002232838,0.001957823,0.000264214,0.000264893,-0.000607067,-6.76E-05,5.48E-05,-0.000364736,0.000111179,8.67E-06,-2.68E-18
Myliobatis_australis_mask,Endangered,rays,0.485,0.001499301,0.035118214,-0.028901326,0.018883371,-0.011039256,-0.018018623,-0.003574952,-0.003435228,0.00045046,-0.008163449,0.004064422,1.29E-05,-0.00234943,-0.000739472,0.002461786,0.00092896,-4.26E-05,-0.000259431,-0.001274211,-8.74E-05,-0.000181593,0.000147547,-3.56E-05,-0.000141056,-5.08E-05,-1.65E-05,1.16E-05,-4.45E-18
Myliobatis_californica,Least Concern,rays,0.060625,0.060462886,-0.005369989,0.005618069,-0.00403857,-0.00844945,-0.009466087,-0.005586561,-0.012034352,-0.003420531,0.007976121,-0.002940076,0.003022899,-5.45E-05,0.002415401,-0.00030637,-0.001605881,0.001227185,0.001214377,0.00011547,0.000151184,-2.46E-05,3.87E-05,-0.00021644,-0.000307125,-0.000252847,-4.77E-06,-4.08E-05,3.97E-18
Pristis_microdon_mask,Least Concern,rays,0.060625,0.002300395,0.013032411,-0.025341368,-0.036624124,0.001669041,0.005779104,-0.008639175,0.002563037,-0.001010887,-0.003024572,-0.000966114,0.001280185,0.000335861,-0.000216335,0.000452018,0.001058701,0.000271307,0.001278951,0.000147858,-9.69E-05,-0.000552501,-0.000489984,-0.000703458,0.000713913,-0.000297308,0.000528732,-0.000116305,2.87E-18
Pristis_pectinata,Critically Endangered,rays,0.97,0.002158961,0.010043844,-0.024426248,-0.035981435,0.0029466,0.005208975,-0.007529767,0.001688253,-0.002626901,-0.000242231,-0.001557414,0.000550145,-0.001038471,0.001132761,0.001187269,5.44E-05,-0.000263618,-0.001413603,-0.00025701,0.000282066,0.000582041,0.000550665,0.000791387,-0.000804222,0.000210404,-0.000543502,9.27E-05,5.78E-18
Pteromylaeus_bovinus,Critically Endangered,rays,0.97,0.054690529,-0.006335776,0.00086489,0.006561066,-0.01045376,0.00167886,-0.001910943,0.014295415,-0.003146196,0.000945027,0.003620078,-0.00819399,0.002654471,0.002935008,-0.000276461,-0.000694561,5.03E-05,0.000303182,6.95E-05,-0.000145362,-0.000167934,-7.37E-06,-0.000342723,-0.000216385,-5.52E-05,-7.87E-05,-7.45E-06,-1.60E-18
Pteroplatytrygon_violacea,Critically Endangered,rays,0.97,-0.015912511,-0.011765839,-0.013935157,0.011170612,0.008676174,-0.008298538,-0.003005649,0.008086011,0.004028923,0.000334546,0.000825864,0.004949705,0.001705597,-0.000123027,-0.000687728,-0.002360185,-0.001975722,0.003185017,0.001150421,0.000710811,0.000471358,-0.000223184,0.000589638,-0.000254492,-0.000246055,-7.93E-05,-9.53E-06,-2.08E-18
Rhina_ancylostoma,Critically Endangered,rays,0.97,-0.017420301,-0.020119884,-0.002914549,-0.010621156,-0.001914517,-0.007644884,0.004259838,-0.000614314,-0.002259062,0.002063422,0.008134758,0.001138044,0.002994001,-0.002614468,-0.000550803,0.001778484,0.002442207,-0.000981024,0.002386907,0.000849994,0.00111353,0.00017762,-0.000227452,0.000395458,9.69E-05,-5.58E-05,-3.40E-05,2.63E-18
Rhinobatos_cemiculus,Critically Endangered,rays,0.97,-0.017270268,-0.023793366,-0.003540513,-0.015820733,-0.001189922,-0.002626725,0.009238701,-0.004335835,-0.000649841,-7.60E-05,0.000440727,-0.003539706,0.000688482,-0.002584018,-0.000372764,-0.002472971,-0.001773122,0.000678349,-0.000719417,-0.000600978,-0.000632981,0.001218754,-0.000344417,0.000775651,-0.000533942,-0.000243524,0.000148702,-9.23E-18
Rhynchobatus_djiddensis,Critically Endangered,rays,0.97,-0.015065455,-0.024215342,-0.001523377,-0.01629872,0.002313283,-0.002813482,0.012797711,-0.005167752,-0.002481601,-0.000793524,0.001920957,-0.004366265,0.000277077,-0.000187367,0.000262075,-0.001043155,-0.000391175,0.000483659,-0.001700698,0.000911273,-7.24E-06,-0.001351103,0.000414659,-0.000873728,0.00027453,0.000285466,-3.17E-05,-5.63E-18
Rostroraja_alba,Least Concern,rays,0.060625,-0.01906237,-0.000639605,0.027592976,-0.004216594,-0.003032676,-0.003562616,-0.000469414,0.002010884,-0.000544097,-0.005223987,-0.003972851,-0.000759305,-0.001464294,0.001879525,-0.001107626,0.000635066,0.001850045,0.000640114,0.001107843,-0.000472827,0.000401981,0.000134307,0.000350177,-0.000300395,-0.000264081,0.000361035,0.000433907,-1.57E-18
Taeniura_grabata,Critically Endangered,skates,0.97,-0.016194763,-0.017032065,0.015883367,-0.000107499,-0.001617615,-0.000748769,0.001078347,0.003514109,0.001928404,0.001080015,-0.002458308,0.00184283,-0.002157681,0.001317079,0.001858632,0.001189526,-0.000937853,-0.000175688,-0.002175192,-0.000622128,0.002069374,-0.000369027,-0.001196459,0.000141935,-0.000218464,-0.000166198,-5.13E-05,-4.65E-18
Taeniurops_meyeni,Least Concern,skates,0.060625,-0.01745767,-0.010455696,0.014441024,0.00322564,0.005134593,-0.006376548,-0.004425629,0.006097743,-0.000685314,0.003472192,-0.001860518,0.001275736,-0.000389426,-0.001461291,0.002294353,-0.001654281,-0.000192158,-0.001879106,-0.000862231,0.001279782,-0.000504569,0.001237233,-0.000298297,-0.000379396,0.000377328,0.000555374,-7.32E-05,-1.78E-18
Torpedo_nobiliana_mask,Endangered,skates,0.485,-0.021562898,-0.000385707,0.007205098,-0.000927393,-0.005337781,0.000839312,-0.007340059,0.002657707,0.000755007,0.002234906,0.00501645,0.004556923,0.00022313,-0.000988388,-0.005344779,-0.002427061,0.000547286,-0.001764922,-0.001806313,-0.0016016,-0.00051341,-0.000672752,0.000284176,0.000187731,9.15E-05,-1.55E-05,6.11E-05,-1.69E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Critically Endangered,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Endangered,,7,,0.607142857,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vulnerable,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Near Threatened,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Least Concern,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data Deficient,,3,,,,,,,,,,,,,,,,,,,,,,,,,,